Rainfall_mm,Temperature_C,Humidity_Percent,Elevation_m,Forest_Type,NDVI,Species_Count,Biodiversity_Health_Score,Species_Risk_Level,Ecosystem_Stability_Index
2040.53,12.99,33.17,98.95,Deciduous,0.511,287,37.21,High,35.62
927.13,37.66,44.13,1394.61,Deciduous,0.552,313,23.91,High,28.8
2233.12,14.22,82.64,249.01,Evergreen,0.751,265,59.31,Medium,63.5
620.36,16.75,79.66,1536.5,Deciduous,0.701,203,41.58,High,49.56
3682.62,26.74,50.25,982.5,Grassland,0.301,468,50.61,Medium,42.78
1405.73,32.92,34.34,1006.89,Deciduous,0.158,365,20.4,High,16.18
2818.83,28.58,90.07,1906.83,Grassland,0.954,187,56.26,Medium,66.95
1590.99,16.96,51.96,489.29,Evergreen,0.335,123,30.89,High,29.98
2320.24,10.03,43.7,2299.66,Semi-Evergreen,0.675,424,68.23,Medium,62.49
2413.49,32.71,66.12,1746.09,Semi-Evergreen,0.846,435,60.18,Medium,63.86
1146.99,39.56,93.72,2744.83,Evergreen,0.37,108,32.88,High,38.13
3893.55,34.3,33.05,1094.52,Deciduous,0.672,31,31.45,High,35.16
3212.96,23.81,83.61,2948.14,Evergreen,0.197,108,53.14,Medium,47.02
3788.25,37.11,70.07,1727.48,Grassland,0.973,173,52.0,Medium,61.53
3631.9,22.3,59.78,2920.21,Deciduous,0.152,55,42.14,High,34.92
2592.65,25.75,82.09,81.18,Evergreen,0.494,35,35.56,High,41.1
3726.56,24.31,97.61,2183.93,Semi-Evergreen,0.583,225,67.32,Medium,67.52
809.72,23.43,46.04,2449.86,Grassland,0.811,181,35.14,High,42.7
1185.94,33.26,40.06,159.52,Semi-Evergreen,0.209,388,20.94,High,18.52
658.3,25.8,93.9,1736.91,Evergreen,0.497,427,52.99,Medium,55.04
1638.66,19.5,76.83,2405.83,Deciduous,0.37,219,44.22,High,43.64
1860.37,17.74,60.66,1683.12,Semi-Evergreen,0.381,494,57.47,Medium,50.85
1449.72,11.13,70.13,191.44,Grassland,0.801,442,55.14,Medium,59.91
3400.58,27.5,82.19,2080.34,Evergreen,0.105,467,64.03,Medium,52.39
1748.64,16.9,84.11,181.79,Evergreen,0.774,224,52.43,Medium,59.41
1483.27,14.44,94.39,2452.41,Grassland,0.829,176,56.45,Medium,64.92
2399.44,29.61,59.88,129.1,Evergreen,0.911,434,57.13,Medium,62.29
993.23,30.44,50.54,412.19,Deciduous,0.664,338,29.46,High,36.09
3307.69,32.56,74.78,825.32,Semi-Evergreen,0.4,318,47.92,High,46.61
760.93,25.11,59.1,1900.09,Grassland,0.485,38,19.01,High,26.01
3954.1,36.82,71.62,2929.08,Deciduous,0.973,157,60.89,Medium,67.96
3202.86,38.09,59.4,353.47,Deciduous,0.893,75,33.13,High,45.02
1195.5,34.22,40.71,428.12,Semi-Evergreen,0.517,207,19.27,High,24.29
519.33,29.07,62.86,1106.61,Evergreen,0.949,62,31.05,High,45.29
3354.11,19.11,78.36,2508.66,Deciduous,0.841,323,73.46,Medium,74.79
2974.0,39.49,85.95,1401.69,Deciduous,0.911,315,54.4,Medium,64.09
3051.53,18.22,64.53,964.83,Evergreen,0.715,309,63.68,Medium,63.17
3199.45,16.08,41.57,1683.61,Evergreen,0.872,385,72.29,Medium,69.41
759.16,23.26,59.03,781.57,Evergreen,0.903,132,36.8,High,47.75
1754.63,11.71,85.04,1203.48,Deciduous,0.183,388,50.64,Medium,45.15
905.54,39.35,58.9,997.82,Grassland,0.969,148,22.48,High,39.17
3520.86,27.65,78.76,2412.42,Grassland,0.4,294,55.26,Medium,52.32
2681.54,26.71,65.5,2772.77,Semi-Evergreen,0.496,276,55.05,Medium,52.4
1658.14,29.67,46.89,2278.72,Grassland,0.813,395,47.54,High,51.53
722.45,24.91,85.73,1317.25,Grassland,0.698,107,30.01,High,42.26
1588.44,10.96,35.89,1513.0,Grassland,0.904,428,57.07,Medium,58.65
1638.14,28.37,66.74,375.22,Deciduous,0.461,471,41.13,High,42.05
3053.62,31.49,44.62,2240.59,Semi-Evergreen,0.436,235,43.92,High,40.3
2731.45,22.5,34.69,1789.43,Evergreen,0.129,378,46.84,High,34.09
3605.24,32.72,65.21,2707.32,Semi-Evergreen,0.516,359,62.03,Medium,57.7
2152.75,16.81,64.97,601.83,Deciduous,0.752,500,61.25,Medium,62.35
918.58,16.64,79.48,2279.18,Semi-Evergreen,0.371,303,48.33,High,46.92
2996.36,14.84,82.13,2054.01,Semi-Evergreen,0.516,126,57.82,Medium,57.18
3162.75,21.16,80.95,797.54,Evergreen,0.297,320,56.5,Medium,51.21
2464.47,35.41,58.67,2002.14,Grassland,0.796,43,31.9,High,41.88
3198.39,34.84,74.22,2773.12,Evergreen,0.154,251,49.3,High,42.04
2228.28,21.48,70.39,2755.31,Evergreen,0.735,63,53.47,Medium,57.3
2329.56,27.67,59.51,2158.88,Deciduous,0.441,405,50.03,Medium,46.82
1996.39,31.62,71.8,144.22,Evergreen,0.137,426,37.93,High,33.35
588.97,17.24,96.31,2616.79,Grassland,0.868,500,67.17,Medium,73.56
877.62,15.04,43.5,1973.34,Evergreen,0.539,97,35.86,High,36.78
610.0,39.16,93.4,931.3,Evergreen,0.639,337,38.08,High,47.7
2727.44,28.53,33.74,561.75,Evergreen,0.759,162,39.21,High,42.62
1600.25,39.44,51.59,348.61,Evergreen,0.69,435,39.32,High,43.71
2280.0,20.13,50.17,150.71,Evergreen,0.758,234,46.8,High,50.26
3676.48,31.09,73.85,2262.31,Deciduous,0.786,23,48.74,High,55.63
1372.52,16.68,39.19,707.53,Evergreen,0.63,231,40.06,High,41.14
1936.34,17.84,91.76,72.76,Semi-Evergreen,0.429,401,52.79,Medium,53.09
3144.43,25.36,88.0,1191.81,Semi-Evergreen,0.319,306,53.8,Medium,50.81
1300.79,19.59,75.64,1447.82,Deciduous,0.913,334,54.76,Medium,62.91
769.43,15.03,62.09,507.69,Grassland,0.973,218,39.7,High,51.77
1514.13,17.89,95.31,132.15,Semi-Evergreen,0.422,20,30.79,High,38.04
1064.27,11.07,88.15,567.38,Evergreen,0.201,344,47.73,High,43.97
3753.94,31.13,64.95,2037.31,Grassland,0.3,33,33.96,High,33.21
3328.42,24.76,79.13,246.73,Grassland,0.704,241,49.05,High,54.76
2716.91,12.83,69.69,1665.11,Semi-Evergreen,0.256,298,55.72,Medium,48.13
3550.11,15.15,71.16,439.24,Semi-Evergreen,0.802,474,75.62,Medium,74.41
3312.85,13.08,53.17,587.07,Semi-Evergreen,0.931,127,56.97,Medium,61.65
1153.0,28.38,62.35,1179.23,Grassland,0.967,389,45.73,High,55.91
3623.96,12.83,35.47,302.48,Deciduous,0.108,137,33.39,High,24.34
2387.7,32.63,55.01,519.61,Evergreen,0.962,419,56.3,Medium,62.15
3326.04,10.62,78.71,1046.86,Evergreen,0.766,412,80.67,Low,78.23
3636.32,17.48,96.73,989.01,Deciduous,0.176,138,48.48,High,45.15
1613.01,36.72,97.41,2247.81,Deciduous,0.474,257,40.47,High,46.26
885.18,31.56,68.9,224.35,Evergreen,0.73,373,40.22,High,47.72
1297.77,12.19,72.46,2581.35,Evergreen,0.961,273,68.56,Medium,73.19
1994.88,34.63,43.0,2448.7,Evergreen,0.248,434,44.13,High,36.03
3363.05,24.79,78.67,2297.97,Semi-Evergreen,0.215,464,65.19,Medium,55.14
3512.56,35.4,34.95,928.12,Semi-Evergreen,0.525,64,29.02,High,30.47
524.33,28.02,49.93,2468.65,Evergreen,0.971,145,40.64,High,50.66
2287.62,30.45,76.79,548.41,Deciduous,0.974,154,42.31,High,55.73
1960.94,39.81,51.72,373.23,Evergreen,0.305,332,27.89,High,27.19
1277.38,16.97,33.49,134.87,Deciduous,0.387,83,16.0,High,18.08
919.53,28.72,88.23,2817.93,Deciduous,0.917,277,52.63,Medium,63.32
1681.65,23.81,51.72,924.03,Grassland,0.761,25,25.47,High,35.63
3800.18,11.18,34.42,2752.85,Grassland,0.975,383,77.85,Medium,74.57
1631.21,10.43,35.24,817.84,Evergreen,0.904,336,57.32,Medium,58.74
2315.77,13.58,47.62,2722.7,Evergreen,0.294,437,64.0,Medium,51.62
2960.57,29.47,42.46,2711.79,Grassland,0.784,36,38.85,High,44.17
1772.7,27.01,84.2,2771.03,Deciduous,0.144,301,42.82,High,38.69
3901.24,26.6,52.52,1488.46,Deciduous,0.836,351,63.09,Medium,63.74
3868.57,10.96,86.33,2597.84,Evergreen,0.641,423,91.5,Low,84.13
1381.24,24.08,42.17,2852.3,Semi-Evergreen,0.96,60,41.98,High,50.25
2240.37,37.74,64.5,973.85,Evergreen,0.964,461,58.37,Medium,64.99
1553.07,21.93,78.16,1256.62,Evergreen,0.146,385,46.2,High,40.24
1496.94,28.75,75.64,2157.72,Deciduous,0.244,374,40.84,High,38.32
629.1,33.39,72.08,901.08,Semi-Evergreen,0.536,374,33.97,High,39.47
2633.48,33.52,94.74,2261.43,Evergreen,0.892,329,68.42,Medium,74.73
2259.38,25.58,46.0,221.68,Semi-Evergreen,0.833,432,51.46,Medium,54.6
680.18,35.74,64.56,1570.5,Evergreen,0.968,323,44.45,High,55.34
1475.26,21.74,91.88,366.94,Evergreen,0.656,370,54.82,Medium,59.58
3678.93,36.66,35.45,879.97,Evergreen,0.331,251,37.66,High,32.27
1338.47,17.21,33.91,775.88,Semi-Evergreen,0.123,480,37.36,High,27.21
1007.13,18.41,46.33,2516.8,Semi-Evergreen,0.301,109,30.2,High,27.93
2213.08,11.59,74.31,580.55,Grassland,0.708,169,46.84,High,52.62
3949.78,33.87,48.19,2425.34,Evergreen,0.934,91,56.98,Medium,61.01
1347.19,22.51,43.32,2381.88,Grassland,0.389,379,39.59,High,36.03
2852.47,16.87,62.12,1496.65,Deciduous,0.888,474,71.75,Medium,72.32
3165.67,16.95,72.95,701.53,Evergreen,0.455,408,65.22,Medium,59.69
1331.73,37.04,47.4,680.69,Deciduous,0.377,327,21.2,High,23.49
3048.76,35.02,51.05,1394.77,Evergreen,0.558,276,46.52,High,45.75
1787.24,26.61,72.95,26.43,Evergreen,0.498,64,28.6,High,35.0
2713.07,28.48,96.2,1594.05,Grassland,0.922,393,65.34,Medium,73.47
2717.35,24.23,77.23,2858.34,Evergreen,0.521,59,52.16,Medium,52.63
2375.21,21.75,84.8,464.12,Evergreen,0.35,211,45.12,High,44.96
816.01,37.46,55.68,1720.04,Semi-Evergreen,0.858,30,22.42,High,36.21
3423.56,13.77,49.06,2885.34,Deciduous,0.999,401,80.7,Low,79.19
1622.73,22.55,61.8,2581.57,Deciduous,0.683,455,58.99,Medium,58.8
1152.81,20.34,86.5,2551.14,Evergreen,0.325,371,55.92,Medium,52.23
642.71,24.94,61.94,2465.55,Evergreen,0.315,154,31.98,High,31.73
2568.13,23.73,89.27,927.07,Grassland,0.152,198,35.38,High,34.39
2871.48,25.57,99.21,2671.85,Deciduous,0.17,240,51.76,Medium,47.66
558.06,14.2,35.04,2824.02,Evergreen,0.923,241,52.63,Medium,55.86
2292.33,25.39,33.18,1487.38,Evergreen,0.187,424,43.63,High,32.92
1292.74,17.27,40.47,1063.71,Evergreen,0.536,58,30.04,High,32.21
2758.1,15.53,56.91,1242.69,Deciduous,0.728,63,44.62,High,49.04
1110.28,11.95,39.17,1002.62,Grassland,0.865,332,45.3,High,50.03
2918.28,32.88,90.95,637.26,Deciduous,0.254,316,41.11,High,40.91
1853.57,22.82,31.62,1855.35,Semi-Evergreen,0.494,314,41.81,High,38.26
3778.55,28.8,52.11,1687.79,Semi-Evergreen,0.326,167,43.75,High,38.81
981.32,31.83,42.93,1387.76,Semi-Evergreen,0.33,41,11.81,High,15.23
1693.73,30.38,95.21,287.54,Semi-Evergreen,0.373,176,31.55,High,37.48
897.16,24.12,76.86,2390.68,Semi-Evergreen,0.628,321,49.84,High,53.33
3736.43,21.64,93.84,524.8,Deciduous,0.115,471,59.48,Medium,51.09
3570.69,21.28,98.06,343.69,Deciduous,0.468,22,43.0,High,48.0
1402.8,29.2,64.8,1869.21,Deciduous,0.268,220,28.6,High,28.73
2809.94,24.84,46.4,1195.93,Deciduous,0.97,408,59.65,Medium,63.44
3360.28,35.47,43.56,179.43,Deciduous,0.624,331,39.1,High,40.96
2443.2,36.24,45.6,1066.71,Deciduous,0.881,342,43.2,High,49.83
2353.78,15.12,79.6,2315.34,Deciduous,0.276,364,57.87,Medium,51.51
1346.48,14.09,32.83,1845.75,Deciduous,0.829,435,54.97,Medium,55.09
825.86,28.91,33.6,1088.36,Grassland,0.473,116,11.23,High,16.67
3640.26,19.04,72.57,575.41,Evergreen,0.26,485,66.18,Medium,55.96
3651.46,10.56,74.94,1895.39,Grassland,0.785,128,64.1,Medium,66.51
2715.86,36.66,76.57,2662.67,Semi-Evergreen,0.786,247,55.41,Medium,60.68
1686.6,16.81,56.03,1938.82,Evergreen,0.996,261,61.68,Medium,66.81
1722.23,37.88,86.42,2438.71,Evergreen,0.803,316,55.46,Medium,62.5
3040.84,31.52,67.35,1564.58,Evergreen,0.231,48,33.99,High,32.04
3639.89,32.88,37.38,2153.91,Grassland,0.39,378,46.62,High,40.14
3604.8,16.04,85.8,2688.68,Grassland,0.507,386,73.64,Medium,68.56
3229.56,17.03,96.71,2319.54,Deciduous,0.214,128,52.86,Medium,49.07
2747.11,25.64,34.2,2729.56,Evergreen,0.809,469,69.32,Medium,64.89
794.49,15.16,57.39,1293.42,Grassland,0.574,30,24.05,High,31.29
1065.7,19.16,64.13,2712.66,Evergreen,0.95,462,70.72,Medium,73.27
3644.94,19.64,40.25,1864.7,Grassland,0.63,114,46.24,High,45.62
2622.5,14.79,90.74,2610.15,Deciduous,0.571,151,59.32,Medium,60.66
532.19,16.16,49.89,118.13,Semi-Evergreen,0.164,112,14.2,High,14.21
855.15,33.66,84.81,1973.56,Deciduous,0.234,73,18.13,High,23.51
2822.26,15.02,76.97,2543.93,Evergreen,0.865,261,75.57,Medium,76.6
517.72,10.85,71.86,522.61,Evergreen,0.992,396,60.54,Medium,68.17
1062.83,28.88,43.45,1985.36,Grassland,0.474,214,24.65,High,27.48
2420.57,39.28,45.45,2474.86,Deciduous,0.829,277,43.47,High,48.84
2921.63,19.94,33.31,863.85,Evergreen,0.665,375,56.74,Medium,52.75
2781.86,13.56,46.85,1215.74,Semi-Evergreen,0.963,353,67.14,Medium,68.59
1284.94,27.11,54.18,1708.55,Grassland,0.314,323,30.47,High,29.54
2992.63,37.19,88.32,1557.5,Evergreen,0.59,87,44.35,High,50.27
1330.37,33.52,55.65,117.57,Semi-Evergreen,0.468,319,27.08,High,30.8
1638.9,28.68,82.82,296.02,Evergreen,0.588,209,39.16,High,45.79
3112.72,19.45,60.76,301.4,Grassland,0.342,147,34.45,High,33.89
2773.72,26.26,84.94,786.8,Evergreen,0.548,369,59.24,Medium,59.27
3472.28,12.74,98.34,737.59,Deciduous,0.662,358,71.84,Medium,72.55
2801.65,30.37,46.79,2226.67,Deciduous,0.173,38,24.15,High,20.93
2489.08,31.75,90.36,1718.23,Semi-Evergreen,0.769,191,52.0,Medium,59.88
827.86,38.95,73.53,2291.93,Evergreen,0.736,434,49.52,High,55.01
1787.01,17.81,87.21,209.69,Deciduous,0.892,81,42.08,High,55.24
1428.21,10.55,75.61,1455.64,Semi-Evergreen,0.483,418,59.56,Medium,56.72
1353.96,26.37,59.68,971.33,Grassland,0.156,432,31.1,High,27.24
3905.54,31.2,45.97,2549.82,Deciduous,0.515,86,43.03,High,41.63
1875.84,33.71,34.9,2123.37,Evergreen,0.224,230,29.38,High,24.02
3622.16,15.81,67.49,2607.78,Evergreen,0.683,361,80.21,Low,74.45
2708.99,17.85,99.32,139.28,Grassland,0.142,194,38.1,High,37.52
3281.84,25.38,81.66,2162.47,Grassland,0.437,359,58.64,Medium,55.91
2259.23,19.92,52.91,1620.03,Evergreen,0.175,400,50.41,Medium,40.22
2519.16,35.82,87.9,2475.0,Semi-Evergreen,0.103,26,29.38,High,28.9
2223.81,24.21,83.83,1521.48,Evergreen,0.965,471,74.68,Medium,79.18
1183.35,33.99,49.71,1620.63,Grassland,0.997,404,43.14,High,52.94
3028.58,27.42,31.0,155.3,Evergreen,0.6,252,40.63,High,39.7
1482.7,33.19,38.27,2005.57,Deciduous,0.315,218,22.45,High,21.68
585.11,19.98,91.41,819.42,Semi-Evergreen,0.92,41,37.53,High,53.26
2759.15,34.94,88.56,59.08,Grassland,0.931,248,44.69,High,58.11
1119.89,18.24,50.66,199.31,Grassland,0.869,332,39.7,High,47.83
3791.61,26.38,49.96,2871.86,Evergreen,0.59,369,70.29,Medium,62.94
3838.75,16.42,85.5,1038.23,Grassland,0.167,144,46.6,High,42.05
3702.03,24.27,95.64,2604.23,Semi-Evergreen,0.18,92,52.97,Medium,48.22
1795.56,19.55,84.54,2879.03,Semi-Evergreen,0.907,205,63.54,Medium,70.2
554.1,18.0,72.39,2829.8,Grassland,0.888,302,52.49,Medium,60.31
3749.11,39.01,46.99,2645.18,Deciduous,0.491,57,35.35,High,35.86
1998.64,14.8,66.8,2684.53,Deciduous,0.395,267,52.24,Medium,48.39
3883.29,33.62,46.35,867.02,Grassland,0.68,490,55.62,Medium,54.15
3872.67,39.52,86.56,454.41,Evergreen,0.826,403,64.89,Medium,69.64
3485.53,10.6,57.09,1917.79,Grassland,0.759,95,56.86,Medium,58.31
1530.57,30.97,88.36,1464.32,Grassland,0.654,160,34.81,High,45.02
1847.84,17.59,56.71,296.24,Evergreen,0.308,116,31.4,High,30.43
3478.98,11.21,87.69,2032.62,Grassland,0.336,162,57.64,Medium,53.84
1609.23,22.09,53.33,1688.58,Deciduous,0.752,99,35.9,High,42.95
1093.22,38.06,60.81,2589.2,Semi-Evergreen,0.822,275,41.41,High,49.44
2448.8,10.35,73.08,1827.55,Deciduous,0.205,373,56.76,Medium,48.21
3776.54,27.64,34.92,1721.84,Evergreen,0.269,476,58.81,Medium,45.61
2936.1,25.04,96.37,1322.26,Grassland,0.712,494,68.5,Medium,71.04
2495.21,36.2,70.15,1388.36,Deciduous,0.45,323,39.89,High,41.44
840.12,12.52,65.55,2863.14,Deciduous,0.607,34,38.68,High,43.42
2652.53,30.45,88.76,415.34,Grassland,0.653,374,49.15,High,55.09
3965.19,30.4,90.6,1338.66,Deciduous,0.799,315,65.72,Medium,70.18
990.29,30.07,66.56,1967.48,Semi-Evergreen,0.825,305,45.75,High,53.36
2314.15,38.27,94.91,1299.03,Grassland,0.352,387,41.23,High,43.74
3570.81,34.69,34.53,849.65,Deciduous,0.587,42,26.66,High,30.14
3092.69,11.26,37.93,862.07,Semi-Evergreen,0.211,284,46.91,High,36.44
2939.56,24.13,71.78,700.97,Deciduous,0.858,179,49.58,High,57.52
2958.69,21.94,54.78,1031.71,Evergreen,0.861,310,62.09,Medium,63.91
1758.22,19.3,62.5,2615.02,Evergreen,0.37,324,54.65,Medium,48.88
1527.57,23.54,52.97,1515.67,Semi-Evergreen,0.245,115,25.97,High,24.67
3332.76,21.53,58.33,720.72,Evergreen,0.163,448,55.92,Medium,44.59
3335.4,22.97,87.59,1153.58,Grassland,0.617,291,57.33,Medium,59.86
3534.75,39.38,71.54,317.49,Evergreen,0.182,307,39.36,High,35.31
3696.34,12.66,99.81,2712.11,Semi-Evergreen,0.713,300,84.77,Low,82.93
2289.7,37.67,85.08,1224.59,Evergreen,0.71,369,54.0,Medium,59.23
2255.31,24.41,49.16,2941.17,Semi-Evergreen,0.653,312,56.23,Medium,54.38
3294.03,28.71,48.5,1042.62,Semi-Evergreen,0.889,56,43.07,High,50.32
2774.87,34.91,53.51,2509.07,Grassland,0.44,182,35.23,High,35.59
2956.88,20.81,89.03,769.16,Semi-Evergreen,0.912,320,67.5,Medium,73.73
3285.27,22.91,31.91,228.46,Evergreen,0.133,155,30.61,High,22.44
3615.02,22.29,46.11,95.2,Grassland,0.201,260,34.74,High,28.88
1682.98,21.24,93.34,1818.51,Deciduous,0.471,194,44.93,High,48.74
1814.54,37.77,74.79,934.72,Grassland,0.635,311,34.19,High,42.21
828.94,34.87,45.88,1330.56,Grassland,0.129,137,4.57,High,6.11
2523.98,13.27,45.34,2455.94,Evergreen,0.611,492,73.78,Medium,65.18
625.8,13.24,90.38,744.32,Evergreen,0.377,357,49.1,High,49.14
2129.59,22.84,92.56,925.96,Grassland,0.898,378,59.51,Medium,68.34
2399.26,12.96,47.93,2536.01,Grassland,0.58,413,61.25,Medium,56.1
1502.89,28.57,59.44,1478.29,Semi-Evergreen,0.629,276,40.57,High,44.36
2567.92,14.31,88.42,2483.0,Grassland,0.951,471,81.23,Low,84.12
606.75,25.67,83.97,1123.43,Grassland,0.788,237,36.08,High,48.25
630.72,10.22,86.97,1195.11,Semi-Evergreen,0.494,222,45.26,High,48.59
3379.1,19.5,66.29,501.42,Semi-Evergreen,0.529,162,48.45,High,48.64
1760.67,30.32,93.81,2749.04,Semi-Evergreen,0.683,274,56.07,Medium,61.32
944.71,24.52,52.82,2690.35,Evergreen,0.28,115,30.79,High,28.82
2327.85,39.35,40.97,2952.65,Deciduous,0.18,226,27.11,High,22.31
3194.98,36.22,79.61,1207.34,Semi-Evergreen,0.38,367,49.73,High,48.13
1255.37,20.77,67.75,2455.84,Semi-Evergreen,0.801,106,45.63,High,52.9
2680.12,11.36,89.82,1244.86,Evergreen,0.332,150,55.62,Medium,52.63
798.72,35.37,35.68,1362.9,Grassland,0.218,134,3.81,High,6.09
680.89,37.34,89.06,2490.0,Semi-Evergreen,0.297,307,34.5,High,36.97
2359.74,34.62,50.53,532.1,Evergreen,0.711,274,40.74,High,45.03
2392.22,13.84,75.84,660.93,Deciduous,0.653,167,48.02,High,52.44
2731.0,39.94,32.81,944.18,Grassland,0.719,75,19.93,High,28.12
3041.32,17.76,72.67,2364.54,Deciduous,0.39,353,61.73,Medium,55.75
3915.48,31.73,80.21,1117.95,Semi-Evergreen,0.911,118,56.38,Medium,64.66
2307.05,37.24,55.81,1074.5,Evergreen,0.507,379,43.38,High,43.09
1630.35,17.07,45.08,2996.45,Deciduous,0.562,317,51.32,Medium,48.35
3283.15,37.25,67.63,1151.42,Grassland,0.954,348,53.6,Medium,61.87
1447.91,19.28,88.32,743.31,Deciduous,0.981,79,43.45,High,58.34
2036.4,39.29,52.65,1869.64,Grassland,0.695,203,30.41,High,37.75
774.6,18.44,47.67,2405.64,Evergreen,0.95,194,50.11,Medium,56.5
588.73,38.6,49.53,208.82,Semi-Evergreen,0.587,171,12.49,High,22.36
3869.27,11.61,96.44,1856.68,Evergreen,0.377,316,78.08,Medium,70.29
3425.93,31.28,55.15,107.21,Grassland,0.384,23,21.1,High,24.66
2935.91,25.96,30.25,1579.0,Grassland,0.603,95,31.79,High,33.47
1931.34,24.34,84.72,770.97,Semi-Evergreen,0.645,454,57.95,Medium,60.48
1106.53,16.7,78.95,919.93,Evergreen,0.496,491,58.27,Medium,56.58
1047.53,31.17,39.0,1401.29,Deciduous,0.895,20,20.41,High,33.25
1375.85,15.72,98.94,2781.32,Deciduous,0.484,289,57.66,Medium,58.75
2422.29,26.59,72.56,2132.0,Grassland,0.346,498,54.82,Medium,49.92
3001.09,17.6,65.05,2810.54,Deciduous,0.107,413,58.99,Medium,46.46
2810.69,38.67,56.76,1979.91,Deciduous,0.974,372,54.77,Medium,61.57
1479.77,10.86,92.91,21.32,Semi-Evergreen,0.842,183,51.99,Medium,61.86
3842.03,15.99,47.08,796.76,Semi-Evergreen,0.654,317,62.3,Medium,58.36
3082.64,17.27,50.0,2717.32,Grassland,0.847,397,69.72,Medium,68.27
2440.24,22.42,38.57,1930.34,Grassland,0.829,67,37.72,High,43.83
2641.02,16.98,83.14,2944.94,Grassland,0.939,37,58.27,Medium,67.02
1968.6,24.74,71.69,467.89,Semi-Evergreen,0.447,108,31.24,High,35.55
1367.06,36.17,72.63,890.24,Deciduous,0.599,351,34.67,High,41.46
1745.9,31.36,45.29,1087.1,Grassland,0.189,335,23.75,High,20.78
3152.46,27.4,75.58,979.67,Deciduous,0.969,175,53.39,Medium,63.19
550.38,12.67,83.58,755.97,Semi-Evergreen,0.987,200,49.92,High,62.3
906.25,30.82,55.05,1330.4,Deciduous,0.81,28,21.24,High,34.23
661.01,14.99,86.09,1926.89,Evergreen,0.509,171,46.42,High,49.59
642.55,33.59,54.42,933.77,Semi-Evergreen,0.547,167,19.78,High,27.26
